no,year ,code,type,x,y,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
28,1997,311027,groundwater,782470.633371334,10762234.340428,768,tuffsand,364,6.89,7,208.95,24.6,13,0.5,41.2,14.1,0.13,0.22,2.4,18.2,1.5,180.3,36.3,21.7,4.3,0.01,1.1,19,38.5,32.4
29,1997,311028,groundwater,783353.528567332,10762571.047872,765,tuffsand,391,6.99,8,292.02,24,-1,0.2,39,13.1,0.66,0.22,2.7,21,1.7,178.8,36.3,40.7,17.6,0.01,4.3,18,38.5,32.4
30,1997,311034,groundwater,783992.528191583,10767111.469456,765,tuffsand,362,6.78,8,312.57,25.2,18,2,17,13.3,0.06,0.22,7.9,18,17.9,61,87.8,57.3,2.6,0,0.08,50,38.5,32.4
31,1997,311051,groundwater,779823.666560055,10760892.376934,765,tuffsand,252,5.45,10,370.21,23.8,75,10,9.7,6.4,0.08,0.22,7.7,17,0.1,122.2,27.2,3.3,1.3,0,1.3,56,38.5,32.4
32,1997,312026,groundwater,785309.97280116,10748306.617719,765,tuffsand,364,7.03,8,302.47,23.9,37,0.45,28,13.3,0.04,0.22,3.4,23,1.4,177.7,0,25,9.2,0.01,0.4,24,38.5,32.4
33,1997,312050,groundwater,776193.434096125,10757221.769926,765,clay,680,6.72,7,123.8,24.3,54,1,65,13.3,0.16,0.22,3,36.3,0,330.6,117.8,48.6,10.5,0,2.4,35,38.5,32.4
34,1997,318069,groundwater,768459.02760758,10755854.357437,765,clay,581,5.95,8,102.92,24.4,51,5,3,1.5,0.16,0.22,9.2,8.2,0,35.4,54.4,8.8,0.8,0,0.6,20,38.5,32.4
35,1997,311014,groundwater,776637.52427108,10756892.125263,760,tuffsand,495,6.11,6,311.45,23.4,62,1,8,17,0.2,0.23,6,8,7,8.9,90.6,53.1,61.3,0,4.3,23,38.5,32.4
36,1997,311029,groundwater,783803.601927851,10761134.916142,760,tuffsand,349,7.08,12,238.7,23.8,-4,0.5,37,10.3,0.13,0.23,3.2,35,7.8,155.1,0,48.2,41.2,0,5,15,38.5,32.4
37,1997,313060,groundwater,775304.12365666,10758102.360717,760,clay,136,5,8.8,132.49,21.2,-81,1,18.1,10.3,0.2,0.22,11.7,27,0.2,176.4,0,20.7,7.5,0.02,0.1,43,38.5,32.4
38,1997,311033,groundwater,783455.776821013,10764120.804567,750,tuffsand,324,6.62,8.1,416.77,25.1,20,2,17,13.3,0.16,0.23,7.9,20,2.3,91.7,18.1,41.7,57.3,0.01,2.6,57,38.5,32.4
39,1997,311035,groundwater,784000.913292382,10765562.29979,750,tuffsand,564,6.35,12,314.07,24.2,43,0.75,40.5,9.9,0.06,0.23,6.1,20.7,2.3,193.8,45.3,46.5,6.8,0,0,9,38.5,32.4
40,1997,311039,groundwater,784444.427067925,10765353.38277,740,tuffsand,349,6.6,14,356.8,23.7,25,0.2,11.3,4.6,0.08,0.3,6.4,18.1,2.5,67,35.3,22,33,0,1.5,41,38.5,32.4
41,1997,311057,groundwater,789968.61926536,10766258.885392,740,tuffsand,225,6,12,338,23.1,74,0.5,9.7,4.2,0.08,0.3,1.4,6.6,8.1,24,45.3,24.7,0.3,0,3,37,38.5,32.4
42,1997,312042,groundwater,782141.246773262,10761789.951517,730,tuffsand,489,7.07,7.3,250.5,24.2,-2,1,13,15,0.2,0.23,7.8,29,10.2,85,86,38.8,24.6,0,1.4,54,38.5,32.4
43,1997,311038,groundwater,784116.277797639,10764677.657667,720,tuffsand,408,6.9,7.2,365.6,24.1,4,0.3,8.8,13,0.16,0.23,7.5,18.3,10.8,94,6.6,13.6,12,0,4.2,31,38.5,32.4
44,1997,311040,groundwater,785220.287377198,10765015.611667,710,tuffsand,494,7.09,8.2,384.89,24.5,-2,0.5,44,15,0.06,0.23,9.7,48.1,34.6,126.9,26.8,42.4,59.7,0,4.5,21,38.5,32.4
45,1997,311041,groundwater,785759.935373735,10767453.05421,705,tuffsand,44,7.01,6.4,371.89,24.2,2,1,21.1,17,0.08,0.23,10,28.4,10.8,177.7,26.8,36.5,33.3,0,0.5,40,38.5,32.4
46,1997,311020,groundwater,780604.223077821,10759679.307636,700,tuffsand,373,6.7,5.8,159.47,23.3,67,0.5,27,10,0.13,0.23,3.4,25.3,13.4,97.8,0,56.7,17,0,0.7,24,38.5,32.4
47,1997,314067,groundwater,771336.016070642,10755537.009278,700,breccias,213,6.21,10.7,279.59,24,42,1,21,13.1,0.13,0.23,3.6,26,10.8,45.8,20.1,62.7,56.8,0.02,4.5,46,38.5,32.4
48,1997,311021,groundwater,783889.736508295,10765672.356853,670,tuffsand,142,6.1,7.8,193.77,23.2,59,2,0.7,1.6,1.2,0.23,0.8,4.4,0,5.6,7.9,12.1,1.3,0.01,6.3,46,38.5,32.4
49,1997,311022,groundwater,790005.755767298,10759508.656836,650,tuffsand,196,6.18,8.6,173.06,23.7,56,2,2.8,1.9,0.2,0.23,1.2,5.9,6.9,18,9.1,3.6,3.9,0.08,2.3,52,38.5,32.4
50,1997,311053,groundwater,779808.404607695,10763769.319736,650,tuffsand,261,6.23,4,359.02,23.6,40,0.5,8.4,9.8,0.14,0.23,8.1,20,22.9,72,18.1,7.5,2.9,0,1.9,51,38.5,32.4
51,1997,311056,groundwater,776304.59997493,10757111.696393,650,tuffsand,192,6.07,4,111.36,23.9,61,1,5,2.4,0.16,0.23,0.4,5.9,6.8,15,45.3,12,2,0.1,2.3,23,38.5,32.4
52,1998,115809,groundwater,785175.20988402,10752835.898066,1338,tuffsand,71.9,6.89,11,58.67,21,7,1,4.3,1.7,0.08,0.22,1.7,5,7,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
53,1998,115808,groundwater,785168.20988402,10752842.898066,1336,tuffsand,122,5.98,6,83.81,23.3,67,0.5,3.2,0.7,0.1,0.22,5.3,6.7,8,12.4,45.3,4.2,2,0,3.2,29,40.5,37.4
54,1998,115807,groundwater,785175.20988402,10752839.898066,1320,tuffsand,680,6.72,7,123.8,24.3,54,1,65,13.3,0.16,0.22,3,36.3,0,330.6,117.8,48.6,10.5,0,2.4,35,40.5,37.4
55,1998,115806,groundwater,785181.20988402,10752842.898066,1300,tuffsand,391,6.99,8,292.02,24,-1,0.2,39,13.1,0.66,0.22,2.7,21,1.7,178.8,36.3,40.7,17.6,0.01,4.3,18,40.5,37.4
56,1998,115805,groundwater,785175.20988402,10752850.898066,1247,tuffsand,71.9,6.89,11,58.67,21,7,1,4.2,1.7,0.08,0.22,1.7,5,7.8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
57,1998,115804,groundwater,785180.20988402,10752842.898066,1240,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,60.5,0,2.7,1.3,0,2.1,42,40.5,37.4
58,1998,115801,groundwater,785175.20988402,10752843.898066,1230,tuffsand,71.9,6.89,11,58.67,21,7,1,4,1.7,0.08,0.22,1.7,5,8.8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
59,1998,115802,groundwater,785178.20988402,10752842.898066,1228,tuffsand,71.9,6.89,11,58.67,21,7,1,3,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
60,1998,115803,groundwater,785175.20988402,10752848.898066,1225,tuffsand,349,7.08,12,238.7,23.8,-4,0.5,37,10.3,0.13,0.23,3.2,35,7.8,155.1,0,48.2,41.2,0,5,15,40.5,37.4
61,1998,115800,groundwater,785176.20988402,10752842.898066,1200,tuffsand,364,7.03,8,302.47,23.9,37,0.45,28,13.3,0.04,0.22,3.4,23,1.4,177.7,0,25,9.2,0.01,0.4,24,40.5,37.4
62,1998,112003,groundwater,785175.20988402,10752842.898066,1190,tuffsand,522,6.5,6.2,238.41,22.9,30,0.3,21,11,0.98,0.22,4.1,27,19,28.7,0,48.8,65.2,0.01,3.6,29,40.5,37.4
63,1998,112004,groundwater,791358.410990657,10754868.208511,1175,tuffsand,144,6.3,6.2,385.68,22.4,49,2,15,16.3,0.16,0.22,3,30.3,17.3,83,0,54.6,12.5,0,2.4,44,40.5,37.4
64,1998,111006,groundwater,779749.809897359,10753920.753428,1150,tuffsand,71.9,6.89,11,58.67,21,7,1,3.9,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
65,1998,111044,groundwater,778412.209171393,10755905.51503,1130,tuffsand,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,8.9,30.7,0,7.5,0.3,0.02,1.3,54,40.5,37.4
66,1998,112012,groundwater,785379.24151581,10756053.091886,1040,tuffsand,581,5.95,8,102.92,24.4,51,5,3,1.5,0.16,0.22,9.2,8.2,0,35.4,54.4,8.8,0.8,0,0.6,20,40.5,37.4
67,1998,214064,groundwater,777881.712359008,10751587.279369,990,breccias,71.9,6.89,11,58.67,21,7,1,4.2,1.7,0.08,0.22,1.7,5,10,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
68,1998,211010,groundwater,790201.394293116,10764157.573,980,tuffsand,486,6.13,7,261.92,24.2,78,1,13,12,0.4,0.22,8.7,36,0,86,72.5,63.1,26.9,0.01,5.3,21,40.5,37.4
69,1998,211016,groundwater,785246.624399812,10760146.757139,940,tuffsand,71.9,6.89,11,58.67,21,7,1,4,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
70,1998,211047,groundwater,779287.080654628,10757791.220499,940,tuffsand,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,40.5,37.4
71,1998,211017,groundwater,785256.755241973,10758265.610703,890,tuffsand,363,8.2,8.6,104,23.7,20,1,38.1,21.1,0.16,0.23,4.5,41,19.6,235.5,0,15.2,1,0.12,11.3,24.9,40.5,37.4
72,1998,212009,groundwater,786240.150405828,10760484.10282,890,tuffsand,364,6.89,7,208.95,24.6,13,0.5,41.2,14.1,0.13,0.22,2.4,18.2,1.5,180.3,36.3,21.7,4.3,0.01,1.1,19,40.5,37.4
73,1998,212011,groundwater,784558.60588577,10765233.326206,830,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,40.5,37.4
74,1998,214063,groundwater,777100.035718877,10753021.704211,820,breccias,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,40.5,37.4
75,1998,311048,groundwater,778949.486068969,10758895.983845,790,tuffsand,167,6.6,4.5,113.39,22.8,40,1,3.8,0.9,0.06,0.22,3.8,8,12,15.7,0,5,0.4,0.02,0.6,43,40.5,37.4
76,1998,212018,groundwater,782032.434927351,10761457.400646,780,tuffsand,268,8,6.1,416,23.1,43,0.5,29.5,8.4,0.06,0.23,1.5,26,0,117,11.2,37.8,10,0.06,10.4,24.4,40.5,37.4
77,1998,313058,groundwater,781713.64321397,10759021.263869,780,clay,136,5,8.8,132.49,21.2,-81,1,18.1,10.3,0.2,0.22,11.7,27,0.2,176.4,0,20.7,7.5,0.02,0.1,43,40.5,37.4
78,1998,311025,groundwater,784266.738571475,10757264.372492,770,tuffsand,489,6.38,5,425.78,23.5,40,1,45,7.5,0.13,0.22,2.6,13,12.3,178.7,19,15.8,27.4,0.02,0.7,36,40.5,37.4
79,1998,311027,groundwater,782470.633371334,10762234.340428,768,tuffsand,441,5.8,7,359.02,23.7,57,0.5,48,20.1,0.16,0.22,7.7,35.2,2.8,51.9,0,111.9,112.2,0,5.3,39,40.5,37.4
80,1998,311028,groundwater,783353.528567332,10762571.047872,765,tuffsand,71.9,6.89,11,58.67,21,7,1,3.8,1.7,0.08,0.22,1.7,5,10,15.2,36.3,3,0.6,0,4.7,23,40.5,37.4
81,1998,311034,groundwater,783992.528191583,10767111.469456,765,tuffsand,71.9,6.89,11,58.67,21,7,1,4,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
82,1998,311051,groundwater,779823.666560055,10760892.376934,765,tuffsand,71.9,6.89,11,58.67,21,7,1,3.8,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,40.5,37.4
83,1998,312026,groundwater,785309.97280116,10748306.617719,765,tuffsand,71.9,6.89,11,58.67,21,7,1,3.5,1.7,0.08,0.22,1.7,5,9.8,15.2,36.3,3.8,0.6,0,4.7,23,40.5,37.4
84,1998,312050,groundwater,776193.434096125,10757221.769926,765,clay,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,61,0,2.7,1.3,0.01,2.1,28,40.5,37.4
85,1998,318069,groundwater,768459.02760758,10755854.357437,765,clay,362,6.78,8,312.57,25.2,18,2,12,13.3,0.06,0.22,7.9,18,17.9,50,117.8,57.3,2.6,0,0.08,50,40.5,37.4
86,1998,311014,groundwater,776637.52427108,10756892.125263,760,tuffsand,449,8.1,12,360,24.2,25,2,63.6,13.3,0.08,0.23,9.5,26,14.5,169.5,0,50.3,22.6,0.34,93.7,75.1,40.5,37.4
87,1998,311029,groundwater,783803.601927851,10761134.916142,760,tuffsand,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,40.5,37.4
88,1998,313060,groundwater,775304.12365666,10758102.360717,760,clay,252,5.45,10,370.21,23.8,75,10,9.7,6.4,0.08,0.22,7.7,17,0.1,122.2,27.2,3.3,1.3,0,1.3,56,40.5,37.4
89,1998,311033,groundwater,783455.776821013,10764120.804567,750,tuffsand,495,6.11,6,311.45,23.4,62,1,17,17,0.2,0.23,6,26.1,10,38.9,90.6,53.1,61.3,0,4.3,23,40.5,37.4
90,1998,311035,groundwater,784000.913292382,10765562.29979,750,tuffsand,167,6.6,8.8,155.7,23.3,-40,2,1.6,3.1,0.08,0.22,7,9.3,12.3,13.3,12.7,5.7,0.9,0,0.4,64,40.5,37.4
91,1998,311039,groundwater,784444.427067925,10765353.38277,740,tuffsand,411,6.77,8,334.6,24.6,29,1,15,9.9,0.2,0.22,9.1,24,13.4,88,0,42.4,26.5,0,4.8,26,40.5,37.4
92,1998,311057,groundwater,789968.61926536,10766258.885392,740,tuffsand,1083,7.6,20.3,1300,24.5,-2,0.2,12,32,0.2,0.24,8,103,0,238,20.1,124.4,48.1,0.28,5.7,39.8,40.5,37.4
93,1998,312042,groundwater,782141.246773262,10761789.951517,730,tuffsand,416,7.2,10,360,24.1,74,0.75,44.1,16.3,0.2,0.23,3,44,0,237.4,35.8,20.7,20.8,0.09,10.7,38.8,40.5,37.4
94,1998,311038,groundwater,784116.277797639,10764677.657667,720,tuffsand,520,8,11.2,108,23.7,-1,0.3,13,12,0.06,0.24,2.5,48,0,125,11.1,73.3,31.9,0.27,6.2,20.3,40.5,37.4
95,1998,311040,groundwater,785220.287377198,10765015.611667,710,tuffsand,450,7.6,10.1,308,24,13,1,56.2,10.8,0.16,0.24,5,34,0,220.3,23.5,27.1,21.5,0.11,30.6,47.4,40.5,37.4
96,1998,311041,groundwater,785759.935373735,10767453.05421,705,tuffsand,589,7.7,14.2,516,24.2,37,0.5,71.1,18.1,0.13,0.24,31,37,0,263.5,14.5,79.4,18.3,0.03,5.3,33.3,40.5,37.4
97,1998,311020,groundwater,780604.223077821,10759679.307636,700,tuffsand,430,8,11.1,500,22.9,18,0.5,43.6,21.4,0.08,0.24,4.2,30,0,210,15.6,36.6,17.2,0.08,11.3,44.5,40.5,37.4
98,1998,314067,groundwater,771336.016070642,10755537.009278,700,breccias,919,7.9,14.7,316,22.4,75,1,62.8,25.3,0.08,0.24,7.5,98,0,360.1,26.8,140,9,2.11,12.5,44.8,40.5,37.4
99,1998,311021,groundwater,783889.736508295,10765672.356853,670,tuffsand,549,7.1,10.5,440,22.8,-81,1,33.5,21.8,0.2,0.24,5.5,73,0,345.3,26.8,64.7,6.2,0.11,15.8,38.9,40.5,37.4
100,1998,311022,groundwater,790005.755767298,10759508.656836,650,tuffsand,133,6.8,3.1,292,23.3,62,0.5,13.5,5.2,0.16,0.24,8.5,12,0,40.9,20.1,39,6.4,0.14,11.9,42.7,40.5,37.4
101,1998,311053,groundwater,779808.404607695,10763769.319736,650,tuffsand,647,8.4,8.8,696,23.5,-4,2,44.5,5.2,0.06,0.24,13,50.8,24.6,141.9,0,65.3,27.4,0.07,11.5,29.7,40.5,37.4
102,1998,311056,groundwater,776304.59997493,10757111.696393,650,tuffsand,394,8,8.2,216,24.6,-0.6,2.3,34.3,14.5,0.08,0.24,6.5,48,0,257.8,27.9,17.3,9.2,0.16,6.8,32.6,40.5,37.4
103,2007,115809,groundwater,785175.20988402,10752835.898066,1338,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,7,12.2,36.3,3.6,0.6,0,4.7,23,11,164.1
104,2007,115808,groundwater,785168.20988402,10752842.898066,1336,tuffsand,71.9,6.89,11,58.67,21,7,1,3.8,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
105,2007,115807,groundwater,785175.20988402,10752839.898066,1320,tuffsand,293,7.99,6.3,50,23.3,-0.62,0.5,11.8,0.9,0.27,0.24,1,4,6,29.3,9.1,6.9,0,0,2.8,47.2,11,164.1
106,2007,115806,groundwater,785181.20988402,10752842.898066,1300,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6,15.2,36.3,3.8,0.6,0,4.7,23,11,164.1
107,2007,115805,groundwater,785175.20988402,10752850.898066,1247,tuffsand,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,11,164.1
108,2007,115804,groundwater,785180.20988402,10752842.898066,1240,tuffsand,131,7.36,4,85,24.5,-0.35,1,12.6,1,0.1,0.24,3,11,10.2,49.4,18.1,8.6,0,0.01,14.4,57.2,11,164.1
109,2007,115801,groundwater,785175.20988402,10752843.898066,1230,tuffsand,265,7.32,6.8,376,23.9,-0.47,0.5,54,19.6,0.22,0.24,7.5,22,10.8,81.4,45.3,78.1,68.4,0,21.1,25.2,11,164.1
110,2007,115802,groundwater,785178.20988402,10752842.898066,1228,tuffsand,71.9,6.89,11,58.67,21,7,1,3.7,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
111,2007,115803,groundwater,785175.20988402,10752848.898066,1225,tuffsand,71.9,6.89,11,58.67,21,7,1,8.8,1.7,0.08,0.22,1.7,5,10,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
112,2007,115800,groundwater,785176.20988402,10752842.898066,1200,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6,15.2,36.3,3.5,0.6,0,4.7,23,11,164.1
113,2007,112003,groundwater,785175.20988402,10752842.898066,1190,tuffsand,71.9,6.89,11,58.67,21,7,1,3.5,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
114,2007,112004,groundwater,791358.410990657,10754868.208511,1175,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,61,0,2.7,1.3,0,2.1,42,11,164.1
115,2007,111006,groundwater,779749.809897359,10753920.753428,1150,tuffsand,71.9,6.89,11,58.67,21,7,1,3.4,1.7,0.08,0.22,1.7,5,8,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
116,2007,111044,groundwater,778412.209171393,10755905.51503,1130,tuffsand,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,11,164.1
117,2007,112012,groundwater,785379.24151581,10756053.091886,1040,tuffsand,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,60.5,0,2.7,1.3,0.01,2.1,28,11,164.1
118,2007,214064,groundwater,777881.712359008,10751587.279369,990,breccias,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,7,15.2,36.3,2.8,0.6,0,4.7,23,11,164.1
119,2007,211010,groundwater,790201.394293116,10764157.573,980,tuffsand,247,8.11,4,82,23.3,-0.43,2,11.8,2,0.27,0.24,2.5,7,14,40.3,0,7.3,0,0,5.3,47,11,164.1
120,2007,211016,groundwater,785246.624399812,10760146.757139,940,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,11,164.1
121,2007,211047,groundwater,779287.080654628,10757791.220499,940,tuffsand,252,7.22,7.5,181,24.2,-0.61,1,27.7,11.5,0.34,0.24,4.7,16,10.8,75,27.2,36.5,25.8,0.01,9.1,33.4,11,164.1
122,2007,211017,groundwater,785256.755241973,10758265.610703,890,tuffsand,71.9,6.89,11,58.67,21,7,1,3.5,1.7,0.08,0.22,1.7,5,7,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
123,2007,212009,groundwater,786240.150405828,10760484.10282,890,tuffsand,71.9,6.89,11,58.67,21,7,1,4.8,1.7,0.08,0.22,1.7,5,9,15.2,36.3,4.8,0.6,0,4.7,23,11,164.1
